source,target,weight,description
КПУО,ВЫСОКОТЕМПЕРАТУРНАЯ КП,8.0,КПУО requires the application of высокотемпературная КП for proper cooling to enhance structural properties of steel
ТЕМПЕРАТУРА ДЕФОРМАЦИИ,ФЕРРИТ,7.0,Температура деформации must be controlled to optimize the grain size of феррит during the cooling process
ВЫСОКОТЕМПЕРАТУРНАЯ КП,АУСТЕНИТ,7.0,"Высокотемпературная КП influences the homogeneity of аустенит during processing, which is crucial for desired mechanical traits"
ЖЕСТКОСТЬ,ФЕРРИТ,6.0,"Жесткость is significantly impacted by the phase distribution, particularly the presence and size of феррит in the steel"
ПРОКАТКА,КПУО,5.0,Прокатка is closely related to КПУО as the parameters for the cooling process must be considered during rolling to achieve desired properties
СТАН 3600,КПУО,18.0,"Стан 3600 является специализированным оборудованием, используемым вместе с КПУО для эффективного управления параметрами охлаждения в процессе обработки стали. Этот агрегат позволяет реализовать режимы высокотемпературной контрольной прокатки, что значительно улучшает качество прокатанного металла, а также обеспечивает его оптимальное охлаждение. Совместная работа Стан 3600 и КПУО позволяет достичь точных режимов контроля, необходимых для обеспечения высоких стандартов в металлургическом производстве и создания продукции, соответствующей современным требованиям."
УОВТ,ПРОКАТКА,1.0,"Установка УОВТ is essential for the accelerated cooling of steel during прокатка, influencing its final mechanical properties"
НБ,МАЛОПЕРЛИТНЫЕ СТАЛИ,8.0,Ниобий (Nb) is used as an alloying element in малоперлитные стали to improve their mechanical properties
НАГРЕВ,ПРОКАТКА,7.0,Нагрев before прокатка is necessary to prepare the steel for proper deformation and control of mechanical properties
ОХЛАЖДЕНИЕ,КПУО,1.0,Охлаждение is a crucial step within the КПУО process to define the final mechanical properties of the steel
КП,УО,8.0,КП и УО используются вместе для достижения требуемых механических свойств сталей
КП,ТЕМПЕРАТУРА,7.0,"Температура является важным параметром в процессе КП, определяющим качество обработки стали"
УО,ТЕМПЕРАТУРА,7.0,"Ускоренное охлаждение влияет на температуру, необходимую для достижения определенных характеристик стали"
МК «АЗОВ-СТАЛЬ»,СТАН 3600,8.0,МК «Азов-сталь» использует стан 3600 для производства проката с ускоренным охлаждением
КП,КПУО,9.0,КПУО включает в себя процесс КП и последующее ускоренное охлаждение
СТАН 3000,КП,6.0,Стан 3000 используется для прокатки в процессе холодной прокатки
ТРУБНЫЕ СТАЛИ,КП,1.0,Процесс КП используется для обрабатывания трубных сталей для улучшения их свойств
КП,МАРТЕНСИТ,7.0,Процесс контрольной прокатки способен предотвратить образование мартенситной фазы в прокате
КПУО,ПЛАСТИЧНОСТЬ,8.0,Режимы КПУО обеспечивают необходимые показатели пластичности для трубных сталей
КП,ВЯЗКОСТЬ,7.0,Температура во время процесс КП влияет на вязкость стали и её конечные механические свойства
ТРУБНЫЕ СТАЛИ,ДИАМЕТР ТРУБЫ,1.0,Диаметр трубы влияет на выбираемые технологии и параметры при производстве трубных stalей
КП 3000,КП 3600,7.0,КП 3000 and КП 3600 are both processes used in steel rolling but differ in their operational efficiencies and temperature handling
КП 3600,КП+УО,8.0,"КП 3600 process incorporates elements of КП+УО to enhance cooling and processing speeds, showing a clear operational link"
КП+УО+КП,КП 3000,6.0,"КП 3000 and КП+УО+КП processes share similarities in controlled rolling parameters, linking their operational methodologies"
КП+УО,УОВТ,9.0,"КП+УО utilizes УОВТ for cooling purposes, directly linking the process with the equipment used during production"
ТЕМПЕРАТУРА,КП 3600,8.0,"Температура is a key parameter in the КП 3600 process, influencing the efficiency and quality of the produced steel"
ОБЖАТИЕ,КП+УО,7.0,"Обжатие is an essential parameter in the КП+УО process, directly affecting the material properties of the output"
ТАБЛИЦА,КП 3600,1.0,"Таблица provides the necessary parameters for the КП 3600 process, serving as a reference for operational standards"
КПУО 2,КП 3600,7.0,КПУО 2 and КП 3600 are both advanced rolling processes that focus on high-temperature parameters to enhance the final steel properties
ТЕМПЕРАТУРНО-ДЕФОРМАЦИОННЫЙ РЕЖИМ,КП+УО+КП,8.0,"Температурно-деформационный режим defines the conditions under which КП+УО+КП operates, clarifying the relationship between temperature and mechanical properties"
ПАРАМЕТРЫ РЕЖИМОВ,КП+УО,1.0,"Параметры режимов provide the foundation for optimized operations in КП+УО, ensuring efficiency and product quality"
УОВТ,КПУО,16.0,"Установка УОВТ играет важную роль в процессе КПУО, обеспечивая эффективный контроль и охлаждение. Это оборудование предназначено для поддержания оптимальных температурных условий, необходимых для успешного выполнения КПУО. Таким образом, УОВТ не только выполняет функцию охлаждения, но и способствует более точному управлению этим процессом."
ДТУ,УОВТ,7.0,ДТУ учитывает опыт эксплуатации установки УОВТ на основе множества экспериментов
СКОРОСТЬ ОХЛАЖДЕНИЯ,ТЕМПЕРАТУРА,6.0,Скорость охлаждения зависит от температуры начала охлаждения и других параметров
РАСХОД ВОДЫ,СКОРОСТЬ ОХЛАЖДЕНИЯ,7.0,Расход воды на верхние охлаждающие устройства влияет на среднюю скорость охлаждения проката
ТОЛЩИНА ПРОКАТА,СКОРОСТЬ ОХЛАЖДЕНИЯ,5.0,Толщина проката влияет на его скорость охлаждения и конечные механические свойства
ТЕМПЕРАТУРА НАЧАЛА ОХЛАЖДЕНИЯ,СКОРОСТЬ ОХЛАЖДЕНИЯ,1.0,"Температура начала охлаждения определяет, как быстро прокат будет охладён"
ОХЛАЖДЕНИЕ,ЭКСПЕРИМЕНТ,8.0,Охлаждение изучается в ходе экспериментов для анализа его влияния на прокат
ЭКСПЕРИМЕНТ,УОВТ,6.0,Эксперимент проводился с установкой УОВТ для анализа эффективности охлаждения проката
ОХЛАЖДАЮЩИЕ УСТРОЙСТВА,РАСХОД ВОДЫ,7.0,Охлаждающие устройства зависят от расхода воды для поддержания необходимой температуры в процессе охлаждения
КПУО,КОРРЕЛЯЦИОННО-РЕГРЕССИОННЫЙ АНАЛИЗ,1.0,Процесс КПУО анализируется с использованием корреляционно-регрессионного анализа для улучшения качества охлаждения
ВОДА,УОВТ,7.0,Вода используется в установке УОВТ для охлаждения листов
КПУО,ПРОКАТКА,8.0,Процесс КПУО связан с процессом прокатки листов
МАЛОПЕРЛИТНЫЕ СТАЛИ,ТЕРМИЧЕСКАЯ ОБРАБОТКА,7.0,Малоаперлитные стали требуют специфической термической обработки для оптимизации их свойств
Д. А. ЛИТВИНЕНКО,КПУО,6.0,Д. А. Литвиненко проводил анализ в контексте процесса КПУО
В.И. ПОГОРЖЕЛЬСКИЙ,ПРОКАТКА,7.0,В.И. Погоржельский основоположник исследований по контролируемой прокатке
И.Г. УЗЛОВЫЙ,КПУО,1.0,И.Г. Узловый рекомендовал статью по результатам исследования по КПУО
ВЫСОКОТЕМПЕРАТУРНАЯ КП,МАЛОПЕРЛИТНЫЕ СТАЛИ,8.0,Высокотемпературная КП улучшает механические свойства малоаперлитных сталей
НИЗКОТЕМПЕРАТУРНАЯ КП,МАЛОПЕРЛИТНЫЕ СТАЛИ,1.0,Низкотемпературная КП позволяет получить менее выгодные механические свойства по сравнению с высокотемпературной
